accr_x,accr_y,accr_z,gyr_x,gyr_y,gyr_z,timestamp,time
-1.173102,9.536898,1.657673,-0.003333333,0.03287481,-0.02309159,0,0.02
-0.8597913,9.6,1.7,0.001310612,0.04727902,-0.003034082,0,0.02
-0.7989262,9.634421,1.706695,0.005197743,0.02698681,-0.005951041,0,0.02
-0.9672133,9.6,1.74801,0.006896897,0.01,-0.01222222,0,0.02
-0.9279917,9.650507,1.697992,0.00775589,0.018867,-0.008888889,0,0.02
-0.7581709,9.604513,1.712683,0.0199993,0.006673619,-0.01110972,0,0.02
-0.9279917,9.650507,1.697992,0.00775589,0.018867,-0.008888889,1,0.12
-0.7581709,9.604513,1.712683,0.0199993,0.006673619,-0.01110972,1,0.12
-0.8540615,9.655256,1.665085,0.01569212,-0.01406425,-0.02246586,1,0.12
-0.94,9.590392,1.609608,0.01165934,0.001962764,-0.02,1,0.12
-0.8528964,9.588445,1.6,0.003451463,0.02186783,-0.01777778,1,0.12
-0.6760538,9.59,1.623946,-0.002217439,0.01993782,-0.02112546,1,0.12
-0.8528964,9.588445,1.6,0.003451463,0.02186783,-0.01777778,2,0.22
-0.6760538,9.59,1.623946,-0.002217439,0.01993782,-0.02112546,2,0.22
-0.6849335,9.624053,1.689867,0.002845352,-0.004634616,-0.02731731,2,0.22
-0.7599689,9.629907,1.690031,-0.0004809512,-0.01927857,-0.03357381,2,0.22
-0.7330452,9.66609,1.66609,0.006580303,-0.04623485,-0.02897525,2,0.22
-0.6979565,9.529946,1.679946,0.02115591,-0.05891129,-0.04535395,2,0.22
-0.7330452,9.66609,1.66609,0.006580303,-0.04623485,-0.02897525,3,0.32
-0.6979565,9.529946,1.679946,0.02115591,-0.05891129,-0.04535395,3,0.32
-1.045329,9.976859,1.707664,0.03446213,-0.05777778,-0.03845406,3,0.32
-0.7883835,9.55084,1.832995,0.09477235,-0.07985011,-0.03365562,3,0.32
-0.8370699,9.494233,1.65214,0.09513126,-0.1268529,-0.01651404,3,0.32
-1.048773,9.61319,2.035583,0.1495947,-0.1139343,-0.01292803,3,0.32
-0.8370699,9.494233,1.65214,0.09513126,-0.1268529,-0.01651404,4,0.42
-1.048773,9.61319,2.035583,0.1495947,-0.1139343,-0.01292803,4,0.42
-1.09,9.161605,1.83679,0.1230094,-0.05916684,-0.004027749,4,0.42
-0.8864114,9.801962,1.720598,0.09331844,-0.02710515,-0.01890378,4,0.42
-0.8550339,9.768051,1.636576,0.1098778,-0.06346002,-0.02629667,4,0.42
-1.394684,9.181382,1.413013,0.07854366,-0.09822003,-0.03111111,4,0.42
-0.8550339,9.768051,1.636576,0.1098778,-0.06346002,-0.02629667,5,0.52
-1.394684,9.181382,1.413013,0.07854366,-0.09822003,-0.03111111,5,0.52
-1.829805,9.442179,1.343268,0.04418075,-0.02080774,-0.01133513,5,0.52
-1.697621,9.542913,1.49,0.01258376,0.08662461,0.06146487,5,0.52
-1.240998,9.670607,1.462818,0.01038304,0.1743168,0.08,5,0.52
-0.7471856,9.63985,1.14985,0.03333333,0.0843925,0.08015684,5,0.52
-1.240998,9.670607,1.462818,0.01038304,0.1743168,0.08,6,0.62
-0.7471856,9.63985,1.14985,0.03333333,0.0843925,0.08015684,6,0.62
-1.142782,9.517888,1.406056,-0.002793152,0.04987902,0.08169054,6,0.62
-1.030558,9.840558,1.393909,-0.03777778,0.07721394,0.1099386,6,0.62
-1.316367,9.800762,1.566816,-0.0361538,0.08921356,0.1387948,6,0.62
-1.204553,9.575803,1.296786,-0.04740202,0.1920222,0.1825818,6,0.62
-1.316367,9.800762,1.566816,-0.0361538,0.08921356,0.1387948,7,0.72
-1.204553,9.575803,1.296786,-0.04740202,0.1920222,0.1825818,7,0.72
-0.8619418,9.388058,1.185036,-0.06659885,0.2273668,0.2107181,7,0.72
-0.5638431,9.766157,1.286152,-0.05985549,0.1442218,0.2288723,7,0.72
-0.7655412,9.678476,1.420527,-0.04317813,0.03824338,0.228324,7,0.72
-1.277394,9.432606,1.424566,-0.0645774,0.04202832,0.2623552,7,0.72
-0.7655412,9.678476,1.420527,-0.04317813,0.03824338,0.228324,8,0.82
-1.277394,9.432606,1.424566,-0.0645774,0.04202832,0.2623552,8,0.82
-1.151155,9.484226,1.456536,-0.08339286,0.1206728,0.2828391,8,0.82
-0.3280901,9.672739,1.440913,-0.0987114,0.1873377,0.2840895,8,0.82
0.06579413,9.48535,1.490701,-0.09705897,0.1941595,0.2672781,8,0.82
0.2453884,9.618479,1.405372,-0.1704989,0.1562132,0.1980952,8,0.82
0.06579413,9.48535,1.490701,-0.09705897,0.1941595,0.2672781,9,0.92
0.2453884,9.618479,1.405372,-0.1704989,0.1562132,0.1980952,9,0.92
0.4928949,9.82614,1.192895,-0.2160493,0.1314816,0.1483951,9,0.92
0.9219717,9.753011,1.271074,-0.2329625,0.05889449,0.08407781,9,0.92
0.7934135,9.808293,1.431707,-0.225461,-0.05572101,0.004586304,9,0.92
-0.3234609,9.454944,1.516674,-0.2053276,-0.1176923,-0.05231719,9,0.92
0.7934135,9.808293,1.431707,-0.225461,-0.05572101,0.004586304,10,1.02
-0.3234609,9.454944,1.516674,-0.2053276,-0.1176923,-0.05231719,10,1.02
-0.8836485,9.357947,1.633324,-0.2604184,0.008755861,-0.04482613,10,1.02
-0.6079288,9.523786,1.512427,-0.2971402,0.1455011,-0.01513647,10,1.02
-0.3873112,9.626623,1.739771,-0.3194637,0.1815072,0.02062565,10,1.02
-0.08244072,9.682348,1.836478,-0.2743398,0.1164053,-0.0006273921,10,1.02
-0.3873112,9.626623,1.739771,-0.3194637,0.1815072,0.02062565,11,1.12
-0.08244072,9.682348,1.836478,-0.2743398,0.1164053,-0.0006273921,11,1.12
-0.6814934,9.392855,2.520132,-0.3340196,0.1340473,-0.02063097,11,1.12
-0.3188664,9.614696,2.149352,-0.3472081,0.2341041,-0.01648242,11,1.12
0.0567591,9.361919,2.53968,-0.3143959,0.2685002,-0.02814219,11,1.12
0.26,9.701907,2.396673,-0.2851356,0.1719047,-0.06245776,11,1.12
0.0567591,9.361919,2.53968,-0.3143959,0.2685002,-0.02814219,12,1.22
0.26,9.701907,2.396673,-0.2851356,0.1719047,-0.06245776,12,1.22
-0.2865667,9.5203,2.446267,-0.2513386,0.1180258,-0.07135916,12,1.22
-0.3834593,9.424692,2.548048,-0.1824937,0.1151626,-0.07483744,12,1.22
-0.0242067,9.282965,2.81531,-0.1714017,0.106467,-0.06062673,12,1.22
0.1809176,9.633202,2.745037,-0.1659506,-0.05989632,-0.07997038,12,1.22
-0.0242067,9.282965,2.81531,-0.1714017,0.106467,-0.06062673,13,1.32
0.1809176,9.633202,2.745037,-0.1659506,-0.05989632,-0.07997038,13,1.32
0.1717413,9.622587,2.6899,-0.1252717,-0.2114033,-0.1103325,13,1.32
0.4772311,9.526739,2.576831,-0.1147173,-0.4524361,-0.1391617,13,1.32
-0.6506793,9.513231,2.810629,-0.1631752,-0.6281852,-0.215963,13,1.32
-2.214572,9.730905,3.059079,-0.2539823,-0.4469132,-0.1929778,13,1.32
-0.6506793,9.513231,2.810629,-0.1631752,-0.6281852,-0.215963,14,1.42
-2.214572,9.730905,3.059079,-0.2539823,-0.4469132,-0.1929778,14,1.42
-1.802938,9.252975,3.024837,-0.3109887,-0.1013919,-0.122455,14,1.42
1.23921,9.703392,2.823216,-0.3670726,0.08203601,-0.05633395,14,1.42
2.373794,9.612382,3.08047,-0.3774305,-0.1135198,-0.1350623,14,1.42
2.373001,8.657086,2.999253,-0.4175642,-0.6615768,-0.12401,14,1.42
2.373794,9.612382,3.08047,-0.3774305,-0.1135198,-0.1350623,15,1.52
2.373001,8.657086,2.999253,-0.4175642,-0.6615768,-0.12401,15,1.52
0.7969433,10.10817,3.228035,-0.4281,-0.9393372,-0.03127383,15,1.52
-1.25796,7.23691,4.212831,-0.3893103,-0.8920528,0.2777182,15,1.52
-0.7508269,8.287166,3.667205,-0.5732774,-0.6417952,0.8627788,15,1.52
-0.4403039,8.908864,3.307424,-0.5892026,-0.3818517,1.122487,15,1.52
-0.7508269,8.287166,3.667205,-0.5732774,-0.6417952,0.8627788,16,1.62
-0.4403039,8.908864,3.307424,-0.5892026,-0.3818517,1.122487,16,1.62
0.7493765,9.689618,3.08693,-0.6364173,-0.1526554,1.051295,16,1.62
3.811091,9.267279,2.035746,-0.5340837,-0.3424382,0.7971353,16,1.62
7.154956,8.908524,1.88543,-0.4559662,-1.093966,0.4932901,16,1.62
6.234158,7.903596,2.437625,-0.2489076,-2.329725,-0.01106245,16,1.62
7.154956,8.908524,1.88543,-0.4559662,-1.093966,0.4932901,17,1.72
6.234158,7.903596,2.437625,-0.2489076,-2.329725,-0.01106245,17,1.72
1.680376,6.436157,3.061434,-0.1587801,-2.965882,-0.3634275,17,1.72
-2.925561,5.343888,3.508336,-0.2838589,-2.339184,-0.4988899,17,1.72
-4.669523,7.577389,4.369615,-0.5517784,-1.177408,-0.5571706,17,1.72
